link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,geometry
1,,1,2,Major arterial,2,1,2,2,35,1800,
2,,1,3,Highway/Expressway,1,1,2,4,45,1800,
3,,1,5,Major arterial,2,1,4,1,35,1800,
4,,2,1,Major arterial,2,1,2,2,35,1800,
5,,2,4,Highway/Expressway,1,1,2,4,45,1800,
6,,2,5,Major arterial,2,1,2,1,35,1800,
7,,3,1,Highway/Expressway,1,1,2,4,45,1800,
8,,3,4,Major arterial,2,1,2,2,35,1800,
9,,3,6,Major arterial,2,1,2,1,35,1800,
10,,4,2,Highway/Expressway,1,1,2,4,45,1800,
11,,4,3,Major arterial,2,1,2,2,35,1800,
12,,5,1,Major arterial,2,1,2,1,35,1800,
13,,5,2,Major arterial,2,1,2,1,35,1800,
14,,5,6,Freeway,1,1,6,2,65,1800,
15,,6,3,Major arterial,2,1,2,1,35,1800,
16,,6,4,Major arterial,2,1,4,1,35,1800,
17,,6,5,Highway/Expressway,1,1,3,2,65,1800,
18,,2,7,Highway/Expressway,1,1,1,2,65,1800,
19,,7,4,Highway/Expressway,1,1,1,2,65,1800,
