link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,notes
1,1,2,0700_0800,4200.000,4.381,27.389,1.167,period-based
2,1,3,0700_0800,2800.000,2.676,44.846,0.389,period-based
3,1,5,0700_0800,0.000,6.857,35.000,0.000,period-based
4,2,1,0700_0800,0.000,3.429,35.000,0.000,period-based
5,2,4,0700_0800,0.000,2.667,45.000,0.000,period-based
6,2,5,0700_0800,0.000,3.429,35.000,0.000,period-based
7,3,1,0700_0800,0.000,2.667,45.000,0.000,period-based
8,3,4,0700_0800,2800.000,3.617,33.179,0.778,period-based
9,3,6,0700_0800,0.000,3.429,35.000,0.000,period-based
10,4,2,0700_0800,0.000,2.667,45.000,0.000,period-based
11,4,3,0700_0800,0.000,3.429,35.000,0.000,period-based
12,5,1,0700_0800,0.000,3.429,35.000,0.000,period-based
13,5,2,0700_0800,0.000,3.429,35.000,0.000,period-based
14,5,6,0700_0800,0.000,5.538,65.000,0.000,period-based
15,6,3,0700_0800,0.000,3.429,35.000,0.000,period-based
16,6,4,0700_0800,0.000,6.857,35.000,0.000,period-based
17,6,5,0700_0800,0.000,2.769,65.000,0.000,period-based
18,2,7,0700_0800,4200.000,1.180,50.865,1.167,period-based
19,7,4,0700_0800,4200.000,1.180,50.865,1.167,period-based
