road_link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,notes
1,1,2,0600_1100,0.000,1393.333,0.258,period-based
1,1,2,1600_2000,0.000,606.133,0.594,period-based
2,1,3,0600_1100,0.000,1393.333,0.172,period-based
2,1,3,1600_2000,0.000,606.133,0.396,period-based
3,2,1,0600_1100,0.000,1393.333,0.258,period-based
3,2,1,1600_2000,0.000,606.133,0.594,period-based
4,2,6,0600_1100,0.000,1393.333,0.215,period-based
4,2,6,1600_2000,0.000,606.133,0.495,period-based
5,3,1,0600_1100,0.000,1393.333,0.172,period-based
5,3,1,1600_2000,0.000,606.133,0.396,period-based
6,3,4,0600_1100,0.000,1393.333,0.172,period-based
6,3,4,1600_2000,0.000,606.133,0.396,period-based
7,3,12,0600_1100,0.000,1393.333,0.172,period-based
7,3,12,1600_2000,0.000,606.133,0.396,period-based
8,4,3,0600_1100,0.000,1393.333,0.172,period-based
8,4,3,1600_2000,0.000,606.133,0.396,period-based
9,4,5,0600_1100,0.000,1393.333,0.086,period-based
9,4,5,1600_2000,0.000,606.133,0.198,period-based
10,4,11,0600_1100,0.000,1393.333,0.258,period-based
10,4,11,1600_2000,0.000,606.133,0.594,period-based
11,5,4,0600_1100,0.000,1393.333,0.086,period-based
11,5,4,1600_2000,0.000,606.133,0.198,period-based
12,5,6,0600_1100,0.000,1393.333,0.172,period-based
12,5,6,1600_2000,0.000,606.133,0.396,period-based
13,5,9,0600_1100,0.000,1393.333,0.215,period-based
13,5,9,1600_2000,0.000,606.133,0.495,period-based
14,6,2,0600_1100,0.000,1393.333,0.215,period-based
14,6,2,1600_2000,0.000,606.133,0.495,period-based
15,6,5,0600_1100,0.000,1393.333,0.172,period-based
15,6,5,1600_2000,0.000,606.133,0.396,period-based
16,6,8,0600_1100,0.000,1393.333,0.086,period-based
16,6,8,1600_2000,0.000,606.133,0.198,period-based
17,7,8,0600_1100,0.000,1393.333,0.129,period-based
17,7,8,1600_2000,0.000,606.133,0.297,period-based
18,7,18,0600_1100,0.000,1393.333,0.086,period-based
18,7,18,1600_2000,0.000,606.133,0.198,period-based
19,8,6,0600_1100,0.000,1393.333,0.086,period-based
19,8,6,1600_2000,0.000,606.133,0.198,period-based
20,8,7,0600_1100,0.000,1393.333,0.129,period-based
20,8,7,1600_2000,0.000,606.133,0.297,period-based
21,8,9,0600_1100,0.000,1393.333,0.431,period-based
21,8,9,1600_2000,0.000,606.133,0.990,period-based
22,8,16,0600_1100,0.000,1393.333,0.215,period-based
22,8,16,1600_2000,0.000,606.133,0.495,period-based
23,9,5,0600_1100,0.000,1393.333,0.215,period-based
23,9,5,1600_2000,0.000,606.133,0.495,period-based
24,9,8,0600_1100,0.000,1393.333,0.431,period-based
24,9,8,1600_2000,0.000,606.133,0.990,period-based
25,9,10,0600_1100,0.000,1393.333,0.129,period-based
25,9,10,1600_2000,0.000,606.133,0.297,period-based
26,10,9,0600_1100,0.000,1393.333,0.129,period-based
26,10,9,1600_2000,0.000,606.133,0.297,period-based
27,10,11,0600_1100,0.000,1393.333,0.215,period-based
27,10,11,1600_2000,0.000,606.133,0.495,period-based
28,10,15,0600_1100,0.000,1393.333,0.258,period-based
28,10,15,1600_2000,0.000,606.133,0.594,period-based
29,10,16,0600_1100,0.000,1393.333,0.172,period-based
29,10,16,1600_2000,0.000,606.133,0.396,period-based
30,10,17,0600_1100,0.000,1393.333,0.344,period-based
