road_link_id,from_node_id,to_node_id,time_period,volume,CA,CD,queue,travel_time,speed,notes
1003,1,3,0700:00_0701:00,0.000,8.000,0.000,0.000,0.000,60.000,simulation-based
1003,1,3,0701:00_0702:00,2.000,76.000,2.000,67.000,33.600,0.018,simulation-based
1003,1,3,0702:00_0703:00,2.000,144.000,4.000,133.000,66.600,0.009,simulation-based
1003,1,3,0703:00_0704:00,1.000,213.000,5.000,200.000,200.100,0.003,simulation-based
1003,1,3,0704:00_0705:00,0.000,281.000,5.000,269.000,269.100,0.002,simulation-based
1003,1,3,0705:00_0706:00,4.000,349.000,9.000,333.000,83.350,0.007,simulation-based
1003,1,3,0706:00_0707:00,2.000,418.000,11.000,399.000,199.600,0.003,simulation-based
1003,1,3,0707:00_0708:00,2.000,486.000,13.000,466.000,233.100,0.003,simulation-based
1003,1,3,0708:00_0709:00,0.000,554.000,13.000,534.000,534.100,0.001,simulation-based
1003,1,3,0709:00_0710:00,2.000,623.000,15.000,600.000,300.100,0.002,simulation-based
1003,1,3,0710:00_0711:00,0.000,691.000,15.000,669.000,669.100,0.001,simulation-based
1003,1,3,0711:00_0712:00,2.000,759.000,17.000,735.000,367.600,0.002,simulation-based
1003,1,3,0712:00_0713:00,2.000,828.000,19.000,801.000,400.600,0.001,simulation-based
1003,1,3,0713:00_0714:00,3.000,896.000,22.000,867.000,289.100,0.002,simulation-based
1003,1,3,0714:00_0715:00,1.000,964.000,23.000,934.000,934.100,0.001,simulation-based
1003,1,3,0715:00_0716:00,1.000,1033.000,24.000,1001.000,1001.100,0.001,simulation-based
1003,1,3,0716:00_0717:00,2.000,1101.000,26.000,1068.000,534.100,0.001,simulation-based
1003,1,3,0717:00_0718:00,0.000,1169.000,26.000,1136.000,1136.100,0.001,simulation-based
1003,1,3,0718:00_0719:00,1.000,1238.000,27.000,1203.000,1203.100,0.000,simulation-based
1003,1,3,0719:00_0720:00,1.000,1306.000,28.000,1271.000,1271.100,0.000,simulation-based
1003,1,3,0720:00_0721:00,1.000,1374.000,29.000,1338.000,1338.100,0.000,simulation-based
1003,1,3,0721:00_0722:00,2.000,1443.000,31.000,1404.000,702.100,0.001,simulation-based
1003,1,3,0722:00_0723:00,1.000,1511.000,32.000,1472.000,1472.100,0.000,simulation-based
1003,1,3,0723:00_0724:00,4.000,1579.000,36.000,1536.000,384.100,0.002,simulation-based
1003,1,3,0724:00_0725:00,2.000,1648.000,38.000,1602.000,801.100,0.001,simulation-based
1003,1,3,0725:00_0726:00,2.000,1716.000,40.000,1668.000,834.100,0.001,simulation-based
1003,1,3,0726:00_0727:00,2.000,1784.000,42.000,1735.000,867.600,0.001,simulation-based
1003,1,3,0727:00_0728:00,1.000,1852.000,43.000,1802.000,1802.100,0.000,simulation-based
1003,1,3,0728:00_0729:00,0.000,1921.000,43.000,1870.000,1870.100,0.000,simulation-based
1003,1,3,0729:00_0730:00,1.000,1989.000,44.000,1938.000,1938.100,0.000,simulation-based
1003,1,3,0730:00_0731:00,5.000,2057.000,49.000,2001.000,400.300,0.001,simulation-based
1003,1,3,0731:00_0732:00,1.000,2126.000,50.000,2068.000,2068.100,0.000,simulation-based
1003,1,3,0732:00_0733:00,1.000,2194.000,51.000,2136.000,2136.100,0.000,simulation-based
1003,1,3,0733:00_0734:00,0.000,2262.000,51.000,2204.000,2204.100,0.000,simulation-based
1003,1,3,0734:00_0735:00,1.000,2331.000,52.000,2271.000,2271.100,0.000,simulation-based
1003,1,3,0735:00_0736:00,3.000,2399.000,55.000,2337.000,779.100,0.001,simulation-based
